q4	media
3	IS
3	IS
3	IS
2	IS
3	IS
2	IS
3	IS
2	IS
3	IS
2	IS
3	IS
3	IS
3	IS
3	IS
2	IS
2	IS
3	IS
2	IS
3	IS
3	IS
3	IS
1	IS
2	IS
3	IS
2	IS
3	IS
2	IS
4	IS
2	IS
2	IS
3	IS
1	IS
1	IS
3	IS
3	IS
3	IS
1	IS
1	IS
3	IS
2	IS
2	IS
3	IS
3	IS
3	IS
1	IS
2	IS
1	IS
1	IS
3	IS
2	IS
1	IS
1	IS
3	IS
3	IS
2	IS
1	IS
3	IS
1	IS
2	IS
3	IS
2	IS
4	IS
3	IS
3	IS
1	IS
3	IS
1	IS
3	IS
2	IS
2	IS
1	IS
3	IS
4	IS
3	IS
3	IS
2	IS
2	IS
3	IS
1	IS
2	IS
3	IS
2	IS
1	IS
3	IS
2	IS
3	IS
2	IS
2	IS
3	IS
3	IS
1	IS
1	IS
4	IS
3	IS
2	IS
1	IS
2	IS
2	IS
2	IS
2	IS
2	IS
2	IS
2	IS
1	IS
3	IS
1	IS
3	IS
2	IS
2	IS
3	IS
2	IS
1	IS
3	IS
3	IS
3	IS
1	IS
2	IS
3	IS
2	IS
2	IS
2	IS
2	IS
3	IS
3	IS
1	IS
3	IS
1	IS
2	IS
2	IS
3	IS
2	IS
3	IS
2	IS
4	IS
2	IS
4	IS
2	IS
3	IS
2	IS
2	IS
2	IS
1	IS
1	IS
3	IS
3	IS
2	IS
3	IS
3	IS
2	IS
2	IS
2	IS
3	IS
1	IS
1	IS
3	IS
1	IS
3	IS
2	IS
1	IS
2	IS
2	IS
2	IS
3	IS
1	IS
3	IS
2	IS
3	IS
2	IS
2	IS
2	IS
4	IS
1	IS
3	IS
2	IS
3	IS
3	IS
3	IS
1	IS
3	IS
3	IS
4	IS
2	IS
2	IS
2	IS
3	IS
3	IS
2	IS
1	IS
1	IS
3	IS
3	IS
3	IS
3	IS
4	IS
2	IS
3	IS
2	IS
3	IS
3	IS
1	IS
1	IS
4	IS
3	IS
1	IS
1	IS
1	IS
2	IS
1	IS
2	IS
2	IS
2	IS
1	IS
2	IS
3	IS
2	IS
1	IS
3	IS
1	IS
2	IS
3	IS
2	IS
3	IS
4	IS
2	IS
2	IS
2	IS
1	IS
3	IS
4	IS
3	IS
2	IS
4	IS
2	IS
3	IS
3	IS
3	IS
2	IS
3	IS
3	IS
3	IS
1	IS
2	IS
3	IS
3	IS
3	IS
2	IS
3	IS
3	IS
2	IS
3	IS
3	IS
3	IS
1	IS
3	IS
