MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1s1	q1s2	q1s3	q1s4	q1s5	q1s6	q1s7	q1s8	q1s9	q1s10	q1s11	q1s12	q1s13	q1s14	q1s15	q1s16	q1s17	q1s18	q1s19	q2s1	q2s2	q2s3	q2s4	q2s5	q2s6	q2s7	q2s8	q2s9	q2s10	q2s11	q2s12	q2s13	q2s14	q2s15	q2s16	q2s17	q2s18	q2s19	q3s1	q3s2	q3s3	q3s4	q3s5	q3s6	q3s7	q3s8	q3s9	q3s10	q3s11	q3s12	q3s13	q3s14	q3s15	q3s16	q3s17	q3s18	q3s19
1004597142	2020/10/12 16:44	1	36	4	30	5	4	1	2	3	4	4	5	4	5	4	4	3	2	3	2	5	4	5	4	4	3	2	3	4	4	5	4	5	4	4	3	3	3	2	4	4	5	4	4	3	2	3	4	4	5	4	5	4	4	3	3	3	2	4	4	4	4	3	2	2
1004635549	2020/10/12 17:30	1	48	5	14	3	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1004648700	2020/10/12 22:18	2	46	5	21	4	11	1	2	3	4	4	4	4	4	4	3	4	3	3	3	4	4	4	4	3	3	3	3	4	4	4	4	4	4	3	4	3	2	3	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	3	2	3	4	4	4	4	4	3	3
1004667599	2020/10/13 22:25	2	26	3	12	3	10	1	2	1	1	1	1	1	1	3	3	4	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	4	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	1	1	1	1	1	1	1	1	1	1
1004672977	2020/10/13 07:30	1	22	3	14	3	10	1	2	4	5	3	3	3	4	2	3	2	3	3	3	2	2	2	3	2	2	2	4	5	3	2	3	4	2	3	3	3	2	2	2	2	3	3	3	3	2	4	5	3	2	3	4	2	3	3	2	2	2	2	3	2	3	3	2	2
1004691611	2020/10/12 18:45	1	30	4	27	5	3	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2	1	1	1	2	2	2	2	1	1	2	2	2	1	1	2	2	1	2	2	2	1	1	1	2	2	1	1	2	1	1	2	2	1	1	2	2	2	2	1	1	1	2	2	2
1004699871	2020/10/12 17:01	2	39	4	21	4	3	2	2	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1004699930	2020/10/12 22:41	2	33	4	23	4	9	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1004707629	2020/10/13 16:32	1	16	2	1	1	10	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1004742398	2020/10/13 09:25	1	29	3	13	3	4	2	2	4	4	5	5	4	5	4	3	2	3	3	2	4	4	4	4	3	3	2	4	4	4	4	4	4	4	3	3	3	2	2	4	4	4	5	3	3	3	5	5	4	4	4	4	4	4	3	3	2	2	4	4	4	5	5	3	4
1004764602	2020/10/12 19:18	1	47	5	23	4	1	1	2	3	4	4	2	4	5	4	4	4	4	4	3	4	3	4	2	2	4	2	4	5	3	4	4	5	4	4	5	4	4	3	3	4	4	4	4	4	3	4	4	4	5	4	5	4	4	5	4	4	3	4	3	4	4	4	3	2
1004777321	2020/10/12 16:41	2	35	4	14	3	8	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	3	4	4	4	4	3	4	4	4	5	4	4	4	4	4	3	4	4	4	4	4	4	4	4	3	3	4	4	4	3	4	4
1004788351	2020/10/12 22:10	1	19	2	2	2	10	1	2	4	3	4	4	4	4	4	5	4	4	3	4	2	3	1	1	5	1	1	5	5	5	5	5	5	5	5	5	3	2	1	4	4	4	4	4	5	1	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	1
1004793469	2020/10/17 00:47	2	21	3	13	3	10	1	2	4	4	4	4	4	4	4	3	3	3	3	3	3	3	4	4	3	3	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	4	4	4	3	3	4	4	4	5	4	4	4	4	3	3	3	2	3	3	4	3	4	3	4
1004851871	2020/10/12 18:16	2	31	4	10	3	5	1	2	4	2	4	5	3	4	3	3	3	3	4	3	3	3	3	4	4	3	3	3	3	4	5	3	3	3	3	3	3	4	4	3	3	3	4	4	4	3	3	3	4	3	4	4	3	3	3	3	3	4	3	3	3	4	4	4	3
1004885551	2020/10/12 18:13	2	16	2	34	6	10	1	2	3	2	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	3	5	3	2	3	3	3	2	3	2	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	2	5	5	5	5	5	5	5	5	5	2
1004892120	2020/10/12 19:03	1	33	4	10	3	1	2	1	3	3	3	4	3	3	3	3	3	3	3	3	3	3	4	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1
1004894213	2020/10/13 06:51	1	25	3	40	8	9	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
