MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1	q2	q3s1	q3s2	q3s3	q3s4	q3s5	q4s1	q4s2	q4s3	q4s4	q4s5
1006019582	2020/10/09 18:17	2	35	4	23	4	11	1	2	2	3	1	1	1	1	3	3	4	2	2	2
1006020722	2020/10/09 18:59	1	38	4	14	3	9	1	2	1	3	1	1	1	4	6	1	2	2	2	1
1006067299	2020/10/10 00:52	2	31	4	23	4	8	2	2	2	3	3	6	2	3	5	3	3	3	3	3
1006080002	2020/10/09 18:17	2	46	5	13	3	9	2	1	2	4	1	6	1	6	6	4	3	3	3	3
1006089218	2020/10/09 22:04	2	22	3	44	8	10	1	2	2	2	6	6	1	1	3	3	4	3	3	3
1006092857	2020/10/09 23:28	1	27	3	13	3	5	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1006135410	2020/10/09 20:47	1	46	5	28	5	5	2	1	1	4	4	6	6	4	6	1	1	2	2	2
1006177379	2020/10/09 18:45	1	32	4	46	8	5	1	2	1	3	1	2	1	1	6	3	3	3	3	3
1006199048	2020/10/09 17:57	2	21	3	14	3	10	1	2	2	2	1	2	1	1	4	4	4	2	3	2
1006244471	2020/10/10 09:54	2	29	3	11	3	3	2	1	2	2	6	6	6	2	6	3	3	2	2	2
1006293301	2020/10/09 20:55	1	49	5	17	4	3	2	1	1	4	1	1	1	4	5	3	3	2	3	2
1006297952	2020/10/09 19:52	1	47	5	13	3	5	1	2	1	4	4	6	1	1	3	2	1	2	2	2
1006323946	2020/10/09 18:01	1	49	5	23	4	5	1	2	1	4	1	1	6	1	6	1	1	3	4	3
1006330300	2020/10/10 12:20	2	22	3	12	3	3	2	1	2	2	1	6	1	3	6	3	1	3	3	3
1006334690	2020/10/09 18:47	2	34	4	13	3	3	1	2	2	3	1	6	3	3	4	1	1	1	1	1
1006369752	2020/10/09 18:41	2	37	4	23	4	8	2	1	2	3	1	4	1	5	5	3	4	3	2	3
1006370634	2020/10/09 20:39	1	18	2	23	4	10	1	2	1	1	1	6	1	1	6	1	1	1	1	1
1006388814	2020/10/10 09:26	2	19	2	47	8	11	1	2	2	2	1	6	1	1	6	1	1	2	2	2
